"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7462","test_change_nickname","test_case","Sat Oct 12 01:11:18 KST 2024","passed","Sat Oct 12 01:11:26 KST 2024","TestScenario","test_account_management_scenario","",""
"","15117","test_account_info","test_case","Sat Oct 12 01:11:37 KST 2024","passed","Sat Oct 12 01:11:52 KST 2024","TestScenario","test_account_management_scenario","",""
"","107892","test_market_trade_normal","test_case","Sat Oct 12 01:12:45 KST 2024","passed","Sat Oct 12 01:14:33 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","18597","test_deposit_crypto","test_case","Sat Oct 12 01:10:01 KST 2024","failed","Sat Oct 12 01:10:19 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","8410","testyour_assets","test_case","Sat Oct 12 01:10:40 KST 2024","passed","Sat Oct 12 01:10:49 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","7238","test_check_asset_portfolio","test_case","Sat Oct 12 01:09:50 KST 2024","passed","Sat Oct 12 01:09:57 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","4544","test_search_function","test_case","Sat Oct 12 01:12:22 KST 2024","passed","Sat Oct 12 01:12:26 KST 2024","TestScenario","test_ui_ux_scenario","",""
"","33162","test_challenge_event","test_case","Sat Oct 12 01:14:37 KST 2024","passed","Sat Oct 12 01:15:10 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","3451","test_withdraw_no_list","test_case","Sat Oct 12 01:10:23 KST 2024","passed","Sat Oct 12 01:10:27 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","10567","test_notification_function","test_case","Sat Oct 12 01:12:30 KST 2024","passed","Sat Oct 12 01:12:41 KST 2024","TestScenario","test_ui_ux_scenario","",""
"","23005","test_earn","test_case","Sat Oct 12 01:10:53 KST 2024","passed","Sat Oct 12 01:11:16 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","0","test_challenge_event","","Sat Oct 12 01:09:19 KST 2024","skipped","Sat Oct 12 01:09:19 KST 2024","","","",""
"","6349","test_postions_open_pending","test_case","Sat Oct 12 01:10:30 KST 2024","passed","Sat Oct 12 01:10:37 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","39047","test_assets","test_case","Sat Oct 12 01:15:14 KST 2024","passed","Sat Oct 12 01:15:53 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","4435","test_weekly_leaderboard","test_case","Sat Oct 12 01:11:29 KST 2024","passed","Sat Oct 12 01:11:33 KST 2024","TestScenario","test_account_management_scenario","",""
"","22943","test_validate_coin_up_down_count","test_case","Sat Oct 12 01:11:55 KST 2024","passed","Sat Oct 12 01:12:18 KST 2024","TestScenario","test_ui_ux_scenario","",""
