"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10992","test_notification_function","test_case","Mon Oct 14 17:08:36 KST 2024","passed","Mon Oct 14 17:08:47 KST 2024","TestScenario","test_ui_ux_scenario","",""
"","7081","test_heck_asset_portfolio","test_case","Mon Oct 14 17:09:41 KST 2024","passed","Mon Oct 14 17:09:48 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","23912","test_account_info","test_case","Mon Oct 14 17:09:13 KST 2024","passed","Mon Oct 14 17:09:37 KST 2024","TestScenario","test_account_management_scenario","",""
"","3482","test_withdraw_no_list","test_case","Mon Oct 14 17:10:08 KST 2024","passed","Mon Oct 14 17:10:12 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","10789","test_your_assets","test_case","Mon Oct 14 17:10:32 KST 2024","passed","Mon Oct 14 17:10:43 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","5048","test_search_function","test_case","Mon Oct 14 17:08:27 KST 2024","passed","Mon Oct 14 17:08:32 KST 2024","TestScenario","test_ui_ux_scenario","",""
"","47143","test_assets","test_case","Mon Oct 14 17:12:29 KST 2024","passed","Mon Oct 14 17:13:16 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","34516","test_market_trade_normal","test_case","Mon Oct 14 17:11:07 KST 2024","passed","Mon Oct 14 17:11:41 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","12654","test_postions_open_pending","test_case","Mon Oct 14 17:10:15 KST 2024","passed","Mon Oct 14 17:10:28 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","15541","test_earn","test_case","Mon Oct 14 17:10:47 KST 2024","passed","Mon Oct 14 17:11:03 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","4648","test_weekly_leaderboard","test_case","Mon Oct 14 17:09:05 KST 2024","passed","Mon Oct 14 17:09:10 KST 2024","TestScenario","test_account_management_scenario","",""
"","12319","test_deposit_crypto","test_case","Mon Oct 14 17:09:52 KST 2024","passed","Mon Oct 14 17:10:04 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","39745","test_challenge_event","test_case","Mon Oct 14 17:11:45 KST 2024","passed","Mon Oct 14 17:12:25 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","11683","test_change_nickname","test_case","Mon Oct 14 17:08:50 KST 2024","passed","Mon Oct 14 17:09:02 KST 2024","TestScenario","test_account_management_scenario","",""
"","43383","test_validate_coin_up_down_count","test_case","Mon Oct 14 17:07:40 KST 2024","broken","Mon Oct 14 17:08:23 KST 2024","TestScenario","test_ui_ux_scenario","",""
