"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8470","testyour_assets","test_case","Fri Oct 11 23:13:46 KST 2024","passed","Fri Oct 11 23:13:55 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","15422","test_account_info","test_case","Fri Oct 11 23:14:27 KST 2024","passed","Fri Oct 11 23:14:42 KST 2024","TestScenario","test_account_management_scenario","",""
"","33728","test_challenge_event","test_case","Fri Oct 11 23:17:30 KST 2024","passed","Fri Oct 11 23:18:03 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","10563","test_notification_function","test_case","Fri Oct 11 23:15:21 KST 2024","passed","Fri Oct 11 23:15:32 KST 2024","TestScenario","test_ui_ux_scenario","",""
"","7155","test_check_asset_portfolio","test_case","Fri Oct 11 23:12:54 KST 2024","passed","Fri Oct 11 23:13:01 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","22183","test_validate_coin_up_down_count","test_case","Fri Oct 11 23:14:46 KST 2024","passed","Fri Oct 11 23:15:08 KST 2024","TestScenario","test_ui_ux_scenario","",""
"","18736","test_deposit_crypto","test_case","Fri Oct 11 23:13:05 KST 2024","failed","Fri Oct 11 23:13:24 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","6488","test_postions_open_pending","test_case","Fri Oct 11 23:13:36 KST 2024","passed","Fri Oct 11 23:13:42 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","109629","test_market_trade_normal","test_case","Fri Oct 11 23:15:36 KST 2024","passed","Fri Oct 11 23:17:26 KST 2024","TestScenario","test_mandatory_scenarios","",""
"","4542","test_weekly_leaderboard","test_case","Fri Oct 11 23:14:19 KST 2024","passed","Fri Oct 11 23:14:23 KST 2024","TestScenario","test_account_management_scenario","",""
"","3529","test_withdraw_no_list","test_case","Fri Oct 11 23:13:28 KST 2024","passed","Fri Oct 11 23:13:31 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","5063","test_search_function","test_case","Fri Oct 11 23:15:11 KST 2024","passed","Fri Oct 11 23:15:16 KST 2024","TestScenario","test_ui_ux_scenario","",""
"","4622","test_earn","test_case","Fri Oct 11 23:13:59 KST 2024","broken","Fri Oct 11 23:14:03 KST 2024","TestScenario","test_balance_wallete_scenario_","",""
"","8487","test_change_nickname","test_case","Fri Oct 11 23:14:07 KST 2024","passed","Fri Oct 11 23:14:15 KST 2024","TestScenario","test_account_management_scenario","",""
"","40853","test_assets","test_case","Fri Oct 11 23:18:07 KST 2024","passed","Fri Oct 11 23:18:48 KST 2024","TestScenario","test_mandatory_scenarios","",""
